video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name
id01779__00010__0e4c47fed4,id01779,-,-,real,A,RealVideo-RealAudio,African,men,00010.mp4,RealVideo-RealAudio/African/men/id01779,RealVideo-RealAudio/African/men/id01779/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01779/00010.mp4,1,0,0,0,REAL
id01835__00130__ac629be208,id01835,-,-,real,A,RealVideo-RealAudio,African,men,00130.mp4,RealVideo-RealAudio/African/men/id01835,RealVideo-RealAudio/African/men/id01835/00130.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01835/00130.mp4,1,0,0,0,REAL
id01856__00006__37a6b7ae7c,id01856,-,-,real,A,RealVideo-RealAudio,African,men,00006.mp4,RealVideo-RealAudio/African/men/id01856,RealVideo-RealAudio/African/men/id01856/00006.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01856/00006.mp4,1,0,0,0,REAL
id01920__00099__b269337455,id01920,-,-,real,A,RealVideo-RealAudio,African,men,00099.mp4,RealVideo-RealAudio/African/men/id01920,RealVideo-RealAudio/African/men/id01920/00099.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01920/00099.mp4,1,0,0,0,REAL
id01933__00028__3e10a0a57b,id01933,-,-,real,A,RealVideo-RealAudio,African,men,00028.mp4,RealVideo-RealAudio/African/men/id01933,RealVideo-RealAudio/African/men/id01933/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01933/00028.mp4,1,0,0,0,REAL
id01972__00078__4711f706eb,id01972,-,-,real,A,RealVideo-RealAudio,African,men,00078.mp4,RealVideo-RealAudio/African/men/id01972,RealVideo-RealAudio/African/men/id01972/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01972/00078.mp4,1,0,0,0,REAL
id01995__00071__f9664af39f,id01995,-,-,real,A,RealVideo-RealAudio,African,men,00071.mp4,RealVideo-RealAudio/African/men/id01995,RealVideo-RealAudio/African/men/id01995/00071.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01995/00071.mp4,1,0,0,0,REAL
id02005__00052__226843b7c9,id02005,-,-,real,A,RealVideo-RealAudio,African,men,00052.mp4,RealVideo-RealAudio/African/men/id02005,RealVideo-RealAudio/African/men/id02005/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02005/00052.mp4,1,0,0,0,REAL
id02040__00476__5d3fd77818,id02040,-,-,real,A,RealVideo-RealAudio,African,men,00476.mp4,RealVideo-RealAudio/African/men/id02040,RealVideo-RealAudio/African/men/id02040/00476.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02040/00476.mp4,1,0,0,0,REAL
id02051__00015__d2c58b60f5,id02051,-,-,real,A,RealVideo-RealAudio,African,men,00015.mp4,RealVideo-RealAudio/African/men/id02051,RealVideo-RealAudio/African/men/id02051/00015.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02051/00015.mp4,1,0,0,0,REAL
id02268__00036__4d71943712,id02268,-,-,real,A,RealVideo-RealAudio,African,men,00036.mp4,RealVideo-RealAudio/African/men/id02268,RealVideo-RealAudio/African/men/id02268/00036.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02268/00036.mp4,1,0,0,0,REAL
id02296__00019__df2f06754b,id02296,-,-,real,A,RealVideo-RealAudio,African,men,00019.mp4,RealVideo-RealAudio/African/men/id02296,RealVideo-RealAudio/African/men/id02296/00019.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02296/00019.mp4,1,0,0,0,REAL
id02316__00094__844a37ef8f,id02316,-,-,real,A,RealVideo-RealAudio,African,men,00094.mp4,RealVideo-RealAudio/African/men/id02316,RealVideo-RealAudio/African/men/id02316/00094.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02316/00094.mp4,1,0,0,0,REAL
id02342__00191__ab0a53ee86,id02342,-,-,real,A,RealVideo-RealAudio,African,men,00191.mp4,RealVideo-RealAudio/African/men/id02342,RealVideo-RealAudio/African/men/id02342/00191.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02342/00191.mp4,1,0,0,0,REAL
id02494__00050__6faa06badf,id02494,-,-,real,A,RealVideo-RealAudio,African,men,00050.mp4,RealVideo-RealAudio/African/men/id02494,RealVideo-RealAudio/African/men/id02494/00050.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02494/00050.mp4,1,0,0,0,REAL
id04727__00007__e32b1c977a,id04727,-,-,real,A,RealVideo-RealAudio,African,men,00007.mp4,RealVideo-RealAudio/African/men/id04727,RealVideo-RealAudio/African/men/id04727/00007.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id04727/00007.mp4,1,0,0,0,REAL
id00220__00027__1694157be1,id00220,-,-,real,A,RealVideo-RealAudio,African,women,00027.mp4,RealVideo-RealAudio/African/women/id00220,RealVideo-RealAudio/African/women/id00220/00027.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00220/00027.mp4,1,0,0,0,REAL
id00359__00053__805bc17362,id00359,-,-,real,A,RealVideo-RealAudio,African,women,00053.mp4,RealVideo-RealAudio/African/women/id00359,RealVideo-RealAudio/African/women/id00359/00053.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00359/00053.mp4,1,0,0,0,REAL
id00371__00099__6148e34b17,id00371,-,-,real,A,RealVideo-RealAudio,African,women,00099.mp4,RealVideo-RealAudio/African/women/id00371,RealVideo-RealAudio/African/women/id00371/00099.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00371/00099.mp4,1,0,0,0,REAL
id00460__00005__5ff8e661ab,id00460,-,-,real,A,RealVideo-RealAudio,African,women,00005.mp4,RealVideo-RealAudio/African/women/id00460,RealVideo-RealAudio/African/women/id00460/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00460/00005.mp4,1,0,0,0,REAL
id00568__00384__41551f6cde,id00568,-,-,real,A,RealVideo-RealAudio,African,women,00384.mp4,RealVideo-RealAudio/African/women/id00568,RealVideo-RealAudio/African/women/id00568/00384.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00568/00384.mp4,1,0,0,0,REAL
id00577__00010__cfd37c228f,id00577,-,-,real,A,RealVideo-RealAudio,African,women,00010.mp4,RealVideo-RealAudio/African/women/id00577,RealVideo-RealAudio/African/women/id00577/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00577/00010.mp4,1,0,0,0,REAL
id00592__00017__a1a7698d6d,id00592,-,-,real,A,RealVideo-RealAudio,African,women,00017.mp4,RealVideo-RealAudio/African/women/id00592,RealVideo-RealAudio/African/women/id00592/00017.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00592/00017.mp4,1,0,0,0,REAL
id00707__00052__09f3a466c2,id00707,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,RealVideo-RealAudio/African/women/id00707,RealVideo-RealAudio/African/women/id00707/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00707/00052.mp4,1,0,0,0,REAL
id00829__00271__6c8e6c17a3,id00829,-,-,real,A,RealVideo-RealAudio,African,women,00271.mp4,RealVideo-RealAudio/African/women/id00829,RealVideo-RealAudio/African/women/id00829/00271.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00829/00271.mp4,1,0,0,0,REAL
id00832__00078__ad2727166f,id00832,-,-,real,A,RealVideo-RealAudio,African,women,00078.mp4,RealVideo-RealAudio/African/women/id00832,RealVideo-RealAudio/African/women/id00832/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00832/00078.mp4,1,0,0,0,REAL
id01178__00028__1b803c44dd,id01178,-,-,real,A,RealVideo-RealAudio,African,women,00028.mp4,RealVideo-RealAudio/African/women/id01178,RealVideo-RealAudio/African/women/id01178/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01178/00028.mp4,1,0,0,0,REAL
id01532__00065__d27647d927,id01532,-,-,real,A,RealVideo-RealAudio,African,women,00065.mp4,RealVideo-RealAudio/African/women/id01532,RealVideo-RealAudio/African/women/id01532/00065.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01532/00065.mp4,1,0,0,0,REAL
id01661__00059__b453863459,id01661,-,-,real,A,RealVideo-RealAudio,African,women,00059.mp4,RealVideo-RealAudio/African/women/id01661,RealVideo-RealAudio/African/women/id01661/00059.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01661/00059.mp4,1,0,0,0,REAL
id01783__00015__41413f4f57,id01783,-,-,real,A,RealVideo-RealAudio,African,women,00015.mp4,RealVideo-RealAudio/African/women/id01783,RealVideo-RealAudio/African/women/id01783/00015.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01783/00015.mp4,1,0,0,0,REAL
id01838__00126__bbc416adf4,id01838,-,-,real,A,RealVideo-RealAudio,African,women,00126.mp4,RealVideo-RealAudio/African/women/id01838,RealVideo-RealAudio/African/women/id01838/00126.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01838/00126.mp4,1,0,0,0,REAL
id01907__00148__c64f33e852,id01907,-,-,real,A,RealVideo-RealAudio,African,women,00148.mp4,RealVideo-RealAudio/African/women/id01907,RealVideo-RealAudio/African/women/id01907/00148.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id01907/00148.mp4,1,0,0,0,REAL
id02071__00195__ce13456f45,id02071,-,-,real,A,RealVideo-RealAudio,African,women,00195.mp4,RealVideo-RealAudio/African/women/id02071,RealVideo-RealAudio/African/women/id02071/00195.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02071/00195.mp4,1,0,0,0,REAL
id02301__00092__b0224fd5cd,id02301,-,-,real,A,RealVideo-RealAudio,African,women,00092.mp4,RealVideo-RealAudio/African/women/id02301,RealVideo-RealAudio/African/women/id02301/00092.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02301/00092.mp4,1,0,0,0,REAL
id02508__00083__f580da19fa,id02508,-,-,real,A,RealVideo-RealAudio,African,women,00083.mp4,RealVideo-RealAudio/African/women/id02508,RealVideo-RealAudio/African/women/id02508/00083.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02508/00083.mp4,1,0,0,0,REAL
id02586__00042__92d32d224d,id02586,-,-,real,A,RealVideo-RealAudio,African,women,00042.mp4,RealVideo-RealAudio/African/women/id02586,RealVideo-RealAudio/African/women/id02586/00042.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02586/00042.mp4,1,0,0,0,REAL
id02617__00028__3d04521bc2,id02617,-,-,real,A,RealVideo-RealAudio,African,women,00028.mp4,RealVideo-RealAudio/African/women/id02617,RealVideo-RealAudio/African/women/id02617/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id02617/00028.mp4,1,0,0,0,REAL
