video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name,split,sync_offset,sync_confidence,sync_min_distance,n_tracks,sync_status,sync_error,crop_path,sync_score
id04219__00130_id01044_wavtolip__af4cfdf699,id04219,id01044,-,wav2lip,C,FakeVideo-RealAudio,Caucasian (American),men,00130_id01044_wavtolip.mp4,FakeVideo-RealAudio/Caucasian (American)/men/id04219,FakeVideo-RealAudio/Caucasian (American)/men/id04219/00130_id01044_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (American)/men/id04219/00130_id01044_wavtolip.mp4,1,1,0,1,FAKE,train,-2.0,6.9268798828125,8.100729942321777,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04219__00130_id01044_wavtolip__af4cfdf699/00000.avi,0.5984160843103706
id03103__00130__27e7204eca,id03103,-,-,real,A,RealVideo-RealAudio,African,women,00130.mp4,RealVideo-RealAudio/African/women/id03103,RealVideo-RealAudio/African/women/id03103/00130.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03103/00130.mp4,1,0,0,0,REAL,train,-1.0,5.903073310852051,8.34016227722168,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03103__00130__27e7204eca/00000.avi,0.2606042765206834
id03757__00149_id00018_sap_fjurhlc_id00777_wavtolip__c44818400b,id03757,id00018,id00777,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),men,00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/men/id03757,FakeVideo-FakeAudio/Caucasian (American)/men/id03757/00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/men/id03757/00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,7.462584495544434,7.736920356750488,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03757__00149_id00018_sap_fjurhlc_id00777_wavtolip__c44818400b/00000.avi,0.6229921385188534
id00569__00239_fake__7eb6f44b5c,id00569,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),women,00239_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/women/id00569,RealVideo-FakeAudio/Caucasian (European)/women/id00569/00239_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/women/id00569/00239_fake.mp4,1,0,1,1,FAKE,train,-5.0,1.2820892333984375,12.60521125793457,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00569__00239_fake__7eb6f44b5c/00000.avi,0.8660114060547996
id02316__00094_fake__aba18cdab7,id02316,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,men,00094_fake.mp4,RealVideo-FakeAudio/African/men/id02316,RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4,1,0,1,1,FAKE,train,-7.0,0.8112421035766602,13.476287841796877,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id02316__00094_fake__aba18cdab7/00000.avi,0.9747974566648229
id00368__00078_fake__fc38cf61ea,id00368,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),men,00078_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/men/id00368,RealVideo-FakeAudio/Caucasian (European)/men/id00368/00078_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/men/id00368/00078_fake.mp4,1,0,1,1,FAKE,val,10.0,1.1726112365722656,13.33156681060791,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00368__00078_fake__fc38cf61ea/00000.avi,0.9951287112148168
id06225__00005__a0ae3510d1,id06225,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00005.mp4,RealVideo-RealAudio/Asian (East)/women/id06225,RealVideo-RealAudio/Asian (East)/women/id06225/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id06225/00005.mp4,1,0,0,0,REAL,train,-2.0,7.531254291534424,7.359602451324463,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06225__00005__a0ae3510d1/00000.avi,0.48937990790198005
id00235__00052_fake__4851dd7891,id00235,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (South),women,00052_fake.mp4,RealVideo-FakeAudio/Asian (South)/women/id00235,RealVideo-FakeAudio/Asian (South)/women/id00235/00052_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (South)/women/id00235/00052_fake.mp4,1,0,1,1,FAKE,train,15.0,2.1546144485473633,12.82578945159912,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00235__00052_fake__4851dd7891/00000.avi,0.999712849502974
id00548__00015_id00368_kohcgdsg29u__d48aafe96d,id00548,id00368,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),men,00015_id00368_KohcGDsg29U.mp4,FakeVideo-RealAudio/Caucasian (European)/men/id00548,FakeVideo-RealAudio/Caucasian (European)/men/id00548/00015_id00368_KohcGDsg29U.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/men/id00548/00015_id00368_KohcGDsg29U.mp4,1,1,0,1,FAKE,train,0.0,3.935931205749512,8.847959518432617,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00548__00015_id00368_kohcgdsg29u__d48aafe96d/00000.avi,0.03574992834806365
id00415__00017__abeffd79ea,id00415,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00017.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00415,RealVideo-RealAudio/Caucasian (European)/men/id00415/00017.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00415/00017.mp4,1,0,0,0,REAL,train,1.0,6.308198928833008,7.452349662780762,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00415__00017__abeffd79ea/00000.avi,0.1193601523113523
id04582__00180_id06445_nwtdqoxebdy_id04530_wavtolip__219bb85d93,id04582,id06445,id04530,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (South),women,00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,FakeVideo-FakeAudio/Asian (South)/women/id04582,FakeVideo-FakeAudio/Asian (South)/women/id04582/00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (South)/women/id04582/00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,9.441902160644531,6.480156421661377,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id04582__00180_id06445_nwtdqoxebdy_id04530_wavtolip__219bb85d93/00000.avi,0.7372739700961564
id00680__00110__cd94c721b0,id00680,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00110.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00680,RealVideo-RealAudio/Caucasian (American)/women/id00680/00110.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00680/00110.mp4,1,0,0,0,REAL,train,-2.0,5.750215530395508,7.741700172424316,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00680__00110__cd94c721b0/00000.avi,0.1439918631862754
id00484__00202__0d943e5f27,id00484,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00202.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00484,RealVideo-RealAudio/Caucasian (European)/women/id00484/00202.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00484/00202.mp4,1,0,0,0,REAL,train,-2.0,6.54594612121582,7.512985706329346,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00484__00202__0d943e5f27/00000.avi,0.2491809279758578
id00042__00028_id00287_2npfyjymspm_id00262_wavtolip__0536997ebd,id00042,id00287,id00262,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),women,00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/women/id00042,FakeVideo-FakeAudio/Caucasian (European)/women/id00042/00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/women/id00042/00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,6.490115165710449,8.01719856262207,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00042__00028_id00287_2npfyjymspm_id00262_wavtolip__0536997ebd/00000.avi,0.4189923151197948
id01683__00052__53d3da2c22,id01683,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00052.mp4,RealVideo-RealAudio/Asian (East)/men/id01683,RealVideo-RealAudio/Asian (East)/men/id01683/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id01683/00052.mp4,1,0,0,0,REAL,train,0.0,5.296623229980469,8.953889846801758,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01683__00052__53d3da2c22/00000.avi,0.2151615978057593
id06467__00010__604d7b195e,id06467,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00010.mp4,RealVideo-RealAudio/Asian (East)/men/id06467,RealVideo-RealAudio/Asian (East)/men/id06467/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id06467/00010.mp4,1,0,0,0,REAL,train,-2.0,7.043251037597656,7.662209987640381,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id06467__00010__604d7b195e/00000.avi,0.45381008211058826
id00020__00206__ed4bd71d18,id00020,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00206.mp4,RealVideo-RealAudio/Caucasian (American)/men/id00020,RealVideo-RealAudio/Caucasian (American)/men/id00020/00206.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id00020/00206.mp4,1,0,0,0,REAL,train,0.0,7.438052177429199,7.304444313049316,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00020__00206__ed4bd71d18/00000.avi,0.22968854043790424
id09175__00072_fake__5f0ed20932,id09175,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),women,00072_fake.mp4,RealVideo-FakeAudio/Asian (East)/women/id09175,RealVideo-FakeAudio/Asian (East)/women/id09175/00072_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/women/id09175/00072_fake.mp4,1,0,1,1,FAKE,val,10.0,0.992950439453125,13.988561630249023,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id09175__00072_fake__5f0ed20932/00000.avi,0.9979494427071606
id00126__00173_fake__2db0c4adc0,id00126,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),men,00173_fake.mp4,RealVideo-FakeAudio/Asian (East)/men/id00126,RealVideo-FakeAudio/Asian (East)/men/id00126/00173_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/men/id00126/00173_fake.mp4,1,0,1,1,FAKE,train,2.0,0.704193115234375,14.376021385192873,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00126__00173_fake__2db0c4adc0/00000.avi,0.9343750415795523
id00577__00010_fake__96b61f77c7,id00577,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,women,00010_fake.mp4,RealVideo-FakeAudio/African/women/id00577,RealVideo-FakeAudio/African/women/id00577/00010_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/women/id00577/00010_fake.mp4,1,0,1,1,FAKE,train,15.0,3.3132410049438477,8.949692726135254,2.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00577__00010_fake__96b61f77c7/00001.avi,0.9595312067799218
id01156__00078__510299279f,id01156,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00078.mp4,RealVideo-RealAudio/Caucasian (European)/men/id01156,RealVideo-RealAudio/Caucasian (European)/men/id01156/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id01156/00078.mp4,1,0,0,0,REAL,train,-2.0,6.547209739685059,8.108901023864746,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01156__00078__510299279f/00000.avi,0.4760884838243568
id01211__00023__a80d35715d,id01211,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00023.mp4,RealVideo-RealAudio/Caucasian (American)/men/id01211,RealVideo-RealAudio/Caucasian (American)/men/id01211/00023.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id01211/00023.mp4,1,0,0,0,REAL,val,-1.0,3.733389854431152,8.96888256072998,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id01211__00023__a80d35715d/00000.avi,0.05279502784064465
id00403__00052_id00374_w1qi7y9agtc_id00271_wavtolip__35d7da4d4b,id00403,id00374,id00271,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),women,00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/women/id00403,FakeVideo-FakeAudio/Caucasian (European)/women/id00403/00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/women/id00403/00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,1,1,1,1,FAKE,train,-2.0,8.018209457397461,7.123099327087402,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00403__00052_id00374_w1qi7y9agtc_id00271_wavtolip__35d7da4d4b/00000.avi,0.5524213082914421
id07689__00028__1a299f29f3,id07689,-,-,real,A,RealVideo-RealAudio,Asian (South),women,00028.mp4,RealVideo-RealAudio/Asian (South)/women/id07689,RealVideo-RealAudio/Asian (South)/women/id07689/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07689/00028.mp4,1,0,0,0,REAL,val,-2.0,4.539789199829102,9.3209810256958,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id07689__00028__1a299f29f3/00000.avi,0.3233693585021274
id00434__00046__b8f7e09aed,id00434,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00046.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00434,RealVideo-RealAudio/Caucasian (European)/women/id00434/00046.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00434/00046.mp4,1,0,0,0,REAL,train,-2.0,5.126342296600342,7.961395263671875,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00434__00046__b8f7e09aed/00000.avi,0.09559437626690107
id03707__00055__c1ce43a802,id03707,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00055.mp4,RealVideo-RealAudio/Caucasian (American)/women/id03707,RealVideo-RealAudio/Caucasian (American)/women/id03707/00055.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id03707/00055.mp4,1,0,0,0,REAL,train,-3.0,9.313270568847656,6.731753349304199,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id03707__00055__c1ce43a802/00000.avi,0.8530870846737378
id00897__00005_id00330_zcffggsiz_s__f4c8b78aeb,id00897,id00330,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),women,00005_id00330_zCFFgGSIZ_s.mp4,FakeVideo-RealAudio/Caucasian (European)/women/id00897,FakeVideo-RealAudio/Caucasian (European)/women/id00897/00005_id00330_zCFFgGSIZ_s.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/women/id00897/00005_id00330_zCFFgGSIZ_s.mp4,1,1,0,1,FAKE,train,1.0,3.959080696105957,9.45472812652588,1.0,ok,,/Users/jeevikakiran/Documents/USC/Multimodal/Project/syncnet_work_pretrained/pycrop/id00897__00005_id00330_zcffggsiz_s__f4c8b78aeb/00000.avi,0.14615756213836487
