video_uid,source,target1,target2,method,category,type,race,gender,clip_name,dataset_dir,raw_video_relpath,raw_video_path,metadata_row_count,is_video_fake,is_audio_fake,true_label,label_name,split
id04219__00130_id01044_wavtolip__af4cfdf699,id04219,id01044,-,wav2lip,C,FakeVideo-RealAudio,Caucasian (American),men,00130_id01044_wavtolip.mp4,FakeVideo-RealAudio/Caucasian (American)/men/id04219,FakeVideo-RealAudio/Caucasian (American)/men/id04219/00130_id01044_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (American)/men/id04219/00130_id01044_wavtolip.mp4,1,1,0,1,FAKE,train
id03103__00130__27e7204eca,id03103,-,-,real,A,RealVideo-RealAudio,African,women,00130.mp4,RealVideo-RealAudio/African/women/id03103,RealVideo-RealAudio/African/women/id03103/00130.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id03103/00130.mp4,1,0,0,0,REAL,train
id03757__00149_id00018_sap_fjurhlc_id00777_wavtolip__c44818400b,id03757,id00018,id00777,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),men,00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/men/id03757,FakeVideo-FakeAudio/Caucasian (American)/men/id03757/00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/men/id03757/00149_id00018_sap-FjURHlc_id00777_wavtolip.mp4,1,1,1,1,FAKE,train
id00569__00239_fake__7eb6f44b5c,id00569,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),women,00239_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/women/id00569,RealVideo-FakeAudio/Caucasian (European)/women/id00569/00239_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/women/id00569/00239_fake.mp4,1,0,1,1,FAKE,train
id02316__00094_fake__aba18cdab7,id02316,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,men,00094_fake.mp4,RealVideo-FakeAudio/African/men/id02316,RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id02316/00094_fake.mp4,1,0,1,1,FAKE,train
id00368__00078_fake__fc38cf61ea,id00368,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),men,00078_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/men/id00368,RealVideo-FakeAudio/Caucasian (European)/men/id00368/00078_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/men/id00368/00078_fake.mp4,1,0,1,1,FAKE,val
id06225__00005__a0ae3510d1,id06225,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00005.mp4,RealVideo-RealAudio/Asian (East)/women/id06225,RealVideo-RealAudio/Asian (East)/women/id06225/00005.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id06225/00005.mp4,1,0,0,0,REAL,train
id00235__00052_fake__4851dd7891,id00235,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (South),women,00052_fake.mp4,RealVideo-FakeAudio/Asian (South)/women/id00235,RealVideo-FakeAudio/Asian (South)/women/id00235/00052_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (South)/women/id00235/00052_fake.mp4,1,0,1,1,FAKE,train
id00548__00015_id00368_kohcgdsg29u__d48aafe96d,id00548,id00368,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),men,00015_id00368_KohcGDsg29U.mp4,FakeVideo-RealAudio/Caucasian (European)/men/id00548,FakeVideo-RealAudio/Caucasian (European)/men/id00548/00015_id00368_KohcGDsg29U.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/men/id00548/00015_id00368_KohcGDsg29U.mp4,1,1,0,1,FAKE,train
id00415__00017__abeffd79ea,id00415,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00017.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00415,RealVideo-RealAudio/Caucasian (European)/men/id00415/00017.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00415/00017.mp4,1,0,0,0,REAL,train
id04582__00180_id06445_nwtdqoxebdy_id04530_wavtolip__219bb85d93,id04582,id06445,id04530,fsgan-wav2lip,D,FakeVideo-FakeAudio,Asian (South),women,00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,FakeVideo-FakeAudio/Asian (South)/women/id04582,FakeVideo-FakeAudio/Asian (South)/women/id04582/00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (South)/women/id04582/00180_id06445_NWtdqOxEbDY_id04530_wavtolip.mp4,1,1,1,1,FAKE,train
id00680__00110__cd94c721b0,id00680,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00110.mp4,RealVideo-RealAudio/Caucasian (American)/women/id00680,RealVideo-RealAudio/Caucasian (American)/women/id00680/00110.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id00680/00110.mp4,1,0,0,0,REAL,train
id00484__00202__0d943e5f27,id00484,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00202.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00484,RealVideo-RealAudio/Caucasian (European)/women/id00484/00202.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00484/00202.mp4,1,0,0,0,REAL,train
id00042__00028_id00287_2npfyjymspm_id00262_wavtolip__0536997ebd,id00042,id00287,id00262,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),women,00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/women/id00042,FakeVideo-FakeAudio/Caucasian (European)/women/id00042/00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/women/id00042/00028_id00287_2NpfYjyMsPM_id00262_wavtolip.mp4,1,1,1,1,FAKE,train
id01683__00052__53d3da2c22,id01683,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00052.mp4,RealVideo-RealAudio/Asian (East)/men/id01683,RealVideo-RealAudio/Asian (East)/men/id01683/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id01683/00052.mp4,1,0,0,0,REAL,train
id06467__00010__604d7b195e,id06467,-,-,real,A,RealVideo-RealAudio,Asian (East),men,00010.mp4,RealVideo-RealAudio/Asian (East)/men/id06467,RealVideo-RealAudio/Asian (East)/men/id06467/00010.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/men/id06467/00010.mp4,1,0,0,0,REAL,train
id00020__00206__ed4bd71d18,id00020,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00206.mp4,RealVideo-RealAudio/Caucasian (American)/men/id00020,RealVideo-RealAudio/Caucasian (American)/men/id00020/00206.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id00020/00206.mp4,1,0,0,0,REAL,train
id09175__00072_fake__5f0ed20932,id09175,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),women,00072_fake.mp4,RealVideo-FakeAudio/Asian (East)/women/id09175,RealVideo-FakeAudio/Asian (East)/women/id09175/00072_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/women/id09175/00072_fake.mp4,1,0,1,1,FAKE,val
id00126__00173_fake__2db0c4adc0,id00126,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),men,00173_fake.mp4,RealVideo-FakeAudio/Asian (East)/men/id00126,RealVideo-FakeAudio/Asian (East)/men/id00126/00173_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/men/id00126/00173_fake.mp4,1,0,1,1,FAKE,train
id00577__00010_fake__96b61f77c7,id00577,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,women,00010_fake.mp4,RealVideo-FakeAudio/African/women/id00577,RealVideo-FakeAudio/African/women/id00577/00010_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/women/id00577/00010_fake.mp4,1,0,1,1,FAKE,train
id01156__00078__510299279f,id01156,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00078.mp4,RealVideo-RealAudio/Caucasian (European)/men/id01156,RealVideo-RealAudio/Caucasian (European)/men/id01156/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id01156/00078.mp4,1,0,0,0,REAL,train
id01211__00023__a80d35715d,id01211,-,-,real,A,RealVideo-RealAudio,Caucasian (American),men,00023.mp4,RealVideo-RealAudio/Caucasian (American)/men/id01211,RealVideo-RealAudio/Caucasian (American)/men/id01211/00023.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/men/id01211/00023.mp4,1,0,0,0,REAL,val
id00403__00052_id00374_w1qi7y9agtc_id00271_wavtolip__35d7da4d4b,id00403,id00374,id00271,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),women,00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/women/id00403,FakeVideo-FakeAudio/Caucasian (European)/women/id00403/00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/women/id00403/00052_id00374_w1qI7y9AGTc_id00271_wavtolip.mp4,1,1,1,1,FAKE,train
id07689__00028__1a299f29f3,id07689,-,-,real,A,RealVideo-RealAudio,Asian (South),women,00028.mp4,RealVideo-RealAudio/Asian (South)/women/id07689,RealVideo-RealAudio/Asian (South)/women/id07689/00028.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07689/00028.mp4,1,0,0,0,REAL,val
id00434__00046__b8f7e09aed,id00434,-,-,real,A,RealVideo-RealAudio,Caucasian (European),women,00046.mp4,RealVideo-RealAudio/Caucasian (European)/women/id00434,RealVideo-RealAudio/Caucasian (European)/women/id00434/00046.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/women/id00434/00046.mp4,1,0,0,0,REAL,train
id03707__00055__c1ce43a802,id03707,-,-,real,A,RealVideo-RealAudio,Caucasian (American),women,00055.mp4,RealVideo-RealAudio/Caucasian (American)/women/id03707,RealVideo-RealAudio/Caucasian (American)/women/id03707/00055.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (American)/women/id03707/00055.mp4,1,0,0,0,REAL,train
id00897__00005_id00330_zcffggsiz_s__f4c8b78aeb,id00897,id00330,-,fsgan,C,FakeVideo-RealAudio,Caucasian (European),women,00005_id00330_zCFFgGSIZ_s.mp4,FakeVideo-RealAudio/Caucasian (European)/women/id00897,FakeVideo-RealAudio/Caucasian (European)/women/id00897/00005_id00330_zCFFgGSIZ_s.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Caucasian (European)/women/id00897/00005_id00330_zCFFgGSIZ_s.mp4,1,1,0,1,FAKE,train
id06470__00052_id00056_wavtolip__4f4944a329,id06470,id00056,-,wav2lip,D,FakeVideo-FakeAudio,Asian (East),men,00052_id00056_wavtolip.mp4,FakeVideo-FakeAudio/Asian (East)/men/id06470,FakeVideo-FakeAudio/Asian (East)/men/id06470/00052_id00056_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Asian (East)/men/id06470/00052_id00056_wavtolip.mp4,1,1,1,1,FAKE,train
id02508__00083_fake__b69a765a91,id02508,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,African,women,00083_fake.mp4,RealVideo-FakeAudio/African/women/id02508,RealVideo-FakeAudio/African/women/id02508/00083_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/women/id02508/00083_fake.mp4,1,0,1,1,FAKE,train
id00832__00078__ad2727166f,id00832,-,-,real,A,RealVideo-RealAudio,African,women,00078.mp4,RealVideo-RealAudio/African/women/id00832,RealVideo-RealAudio/African/women/id00832/00078.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id00832/00078.mp4,1,0,0,0,REAL,train
id00694__00340__1b9d1358e9,id00694,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00340.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00694,RealVideo-RealAudio/Caucasian (European)/men/id00694/00340.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00694/00340.mp4,1,0,0,0,REAL,train
id05235__00052__12ea99b1ed,id05235,-,-,real,A,RealVideo-RealAudio,African,women,00052.mp4,RealVideo-RealAudio/African/women/id05235,RealVideo-RealAudio/African/women/id05235/00052.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/women/id05235/00052.mp4,1,0,0,0,REAL,train
id00266__00470__863a01a8f9,id00266,-,-,real,A,RealVideo-RealAudio,Caucasian (European),men,00470.mp4,RealVideo-RealAudio/Caucasian (European)/men/id00266,RealVideo-RealAudio/Caucasian (European)/men/id00266/00470.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Caucasian (European)/men/id00266/00470.mp4,1,0,0,0,REAL,train
id00137__00025_fake__fb6c322340,id00137,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),women,00025_fake.mp4,RealVideo-FakeAudio/Asian (East)/women/id00137,RealVideo-FakeAudio/Asian (East)/women/id00137/00025_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/women/id00137/00025_fake.mp4,1,0,1,1,FAKE,train
id09181__00048__918499f4d7,id09181,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00048.mp4,RealVideo-RealAudio/Asian (East)/women/id09181,RealVideo-RealAudio/Asian (East)/women/id09181/00048.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id09181/00048.mp4,1,0,0,0,REAL,train
id06065__00160__7939fac555,id06065,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00160.mp4,RealVideo-RealAudio/Asian (East)/women/id06065,RealVideo-RealAudio/Asian (East)/women/id06065/00160.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id06065/00160.mp4,1,0,0,0,REAL,train
id06591__00021_fake__6eeedc5ae5,id06591,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Asian (East),men,00021_fake.mp4,RealVideo-FakeAudio/Asian (East)/men/id06591,RealVideo-FakeAudio/Asian (East)/men/id06591/00021_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Asian (East)/men/id06591/00021_fake.mp4,1,0,1,1,FAKE,train
id00021__00010_id00021_wavtolip__a38cf09c5b,id00021,id00021,-,wav2lip,D,FakeVideo-FakeAudio,Caucasian (American),men,00010_id00021_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (American)/men/id00021,FakeVideo-FakeAudio/Caucasian (American)/men/id00021/00010_id00021_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (American)/men/id00021/00010_id00021_wavtolip.mp4,1,1,1,1,FAKE,train
id07182__00040__c004691801,id07182,-,-,real,A,RealVideo-RealAudio,Asian (South),men,00040.mp4,RealVideo-RealAudio/Asian (South)/men/id07182,RealVideo-RealAudio/Asian (South)/men/id07182/00040.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/men/id07182/00040.mp4,1,0,0,0,REAL,train
id00945__00107_fake__43cc4dff59,id00945,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (American),men,00107_fake.mp4,RealVideo-FakeAudio/Caucasian (American)/men/id00945,RealVideo-FakeAudio/Caucasian (American)/men/id00945/00107_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (American)/men/id00945/00107_fake.mp4,1,0,1,1,FAKE,train
id00225__00078_id00185_1lsgwpwnl1m_id00559_wavtolip__bad82a6800,id00225,id00185,id00559,fsgan-wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00078_id00185_1lsGWpwnl1M_id00559_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00225,FakeVideo-FakeAudio/Caucasian (European)/men/id00225/00078_id00185_1lsGWpwnl1M_id00559_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00225/00078_id00185_1lsGWpwnl1M_id00559_wavtolip.mp4,1,1,1,1,FAKE,train
id01052__00076_fake__def790c397,id01052,fake.mp4,-,rtvc,B,RealVideo-FakeAudio,Caucasian (European),men,00076_fake.mp4,RealVideo-FakeAudio/Caucasian (European)/men/id01052,RealVideo-FakeAudio/Caucasian (European)/men/id01052/00076_fake.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-FakeAudio/Caucasian (European)/men/id01052/00076_fake.mp4,1,0,1,1,FAKE,train
id02807__00032__702e20b7a6,id02807,-,-,real,A,RealVideo-RealAudio,Asian (East),women,00032.mp4,RealVideo-RealAudio/Asian (East)/women/id02807,RealVideo-RealAudio/Asian (East)/women/id02807/00032.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (East)/women/id02807/00032.mp4,1,0,0,0,REAL,train
id00594__00005_id00694_wavtolip__b1960637a1,id00594,id00694,-,wav2lip,D,FakeVideo-FakeAudio,Caucasian (European),men,00005_id00694_wavtolip.mp4,FakeVideo-FakeAudio/Caucasian (European)/men/id00594,FakeVideo-FakeAudio/Caucasian (European)/men/id00594/00005_id00694_wavtolip.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-FakeAudio/Caucasian (European)/men/id00594/00005_id00694_wavtolip.mp4,1,1,1,1,FAKE,train
id01452__00001__f8d2f58f3c,id01452,-,-,real,A,RealVideo-RealAudio,African,men,00001.mp4,RealVideo-RealAudio/African/men/id01452,RealVideo-RealAudio/African/men/id01452/00001.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01452/00001.mp4,1,0,0,0,REAL,train
id01610__00090__f683538f3c,id01610,-,-,real,A,RealVideo-RealAudio,African,men,00090.mp4,RealVideo-RealAudio/African/men/id01610,RealVideo-RealAudio/African/men/id01610/00090.mp4,/Users/jeevikakiran/Documents/USC/Multimodal/Project/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01610/00090.mp4,1,0,0,0,REAL,train
